indicator_id,state,score
IND_205,Kansas,100
IND_205,Kentucky,100
IND_205,Louisiana,100
IND_205,Maine,100
IND_205,Maryland,100
IND_205,Massachusetts,100
IND_205,Michigan,100
IND_205,Minnesota,100
IND_205,Mississippi,100
IND_205,Missouri,100
IND_205,Montana,100
IND_205,Nebraska,100
IND_205,Nevada,100
IND_205,New Hampshire,50
IND_205,New Jersey,100
IND_205,New Mexico,75
IND_205,New York,100
IND_205,North Carolina,50
IND_205,North Dakota,25
IND_205,Ohio,100
IND_205,Oklahoma,100
IND_205,Oregon,50
IND_205,Pennsylvania,100
IND_205,Rhode Island,100
IND_205,South Carolina,100
IND_205,South Dakota,100
IND_205,Tennessee,100
IND_205,Texas,100
IND_205,Utah,100
IND_205,Vermont,100
IND_205,Virginia,75
IND_205,Washington,100
IND_205,West Virginia,75
IND_205,Wisconsin,100
IND_205,Wyoming,25
IND_206,Alabama,25
IND_206,Alaska,100
IND_206,Arizona,0
IND_206,Arkansas,25
IND_206,California,100
IND_206,Colorado,25
IND_206,Connecticut,100
IND_206,Delaware,100
IND_206,Florida,0
IND_206,Georgia,25
IND_206,Hawaii,25
IND_206,Idaho,25
IND_206,Illinois,25
IND_206,Indiana,50
IND_206,Iowa,0
IND_206,Kansas,0
IND_206,Kentucky,50
IND_206,Louisiana,25
IND_206,Maine,100
IND_206,Maryland,25
IND_206,Massachusetts,0
IND_206,Michigan,25
IND_206,Minnesota,25
IND_206,Mississippi,75
IND_206,Missouri,100
IND_206,Montana,100
IND_206,Nebraska,0
IND_206,Nevada,25
IND_206,New Hampshire,25
IND_206,New Jersey,25
IND_206,New Mexico,25
IND_206,New York,100
IND_206,North Carolina,25
IND_206,North Dakota,0
IND_206,Ohio,75
IND_206,Oklahoma,25
IND_206,Oregon,75
IND_206,Pennsylvania,50
IND_206,Rhode Island,25
IND_206,South Carolina,0
IND_206,South Dakota,0
IND_206,Tennessee,75
IND_206,Texas,25
IND_206,Utah,100
IND_206,Vermont,75
IND_206,Virginia,0
IND_206,Washington,25
IND_206,West Virginia,0
IND_206,Wisconsin,25
IND_206,Wyoming,25
IND_207,Alabama,MODERATE
IND_207,Alaska,YES
IND_207,Arizona,NO
IND_207,Arkansas,NO
IND_207,California,YES
IND_207,Colorado,No
IND_207,Connecticut,YES
IND_207,Delaware,NO
IND_207,Florida,YES
IND_207,Georgia,NO
IND_207,Hawaii,MODERATE
IND_207,Idaho,YES
IND_207,Illinois,MODERATE
IND_207,Indiana,YES
IND_207,Iowa,NO
IND_207,Kansas,MODERATE
IND_207,Kentucky,MODERATE
IND_207,Louisiana,MODERATE
IND_207,Maine,MODERATE
IND_207,Maryland,MODERATE
IND_207,Massachusetts,MODERATE
IND_207,Michigan,NO
IND_207,Minnesota,MODERATE
IND_207,Mississippi,NO
IND_207,Missouri,MODERATE
IND_207,Montana,MODERATE
IND_207,Nebraska,NO
IND_207,Nevada,MODERATE
IND_207,New Hampshire,MODERATE
IND_207,New Jersey,YES
IND_207,New Mexico,MODERATE
IND_207,New York,YES
IND_207,North Carolina,YES
IND_207,North Dakota,MODERATE
IND_207,Ohio,YES
IND_207,Oklahoma,NO
IND_207,Oregon,NO
IND_207,Pennsylvania,YES
IND_207,Rhode Island,NO
IND_207,South Carolina,MODERATE
IND_207,South Dakota,NO
IND_207,Tennessee,YES
IND_207,Texas,MODERATE
IND_207,Utah,NO
IND_207,Vermont,NO
IND_207,Virginia,NO
IND_207,Washington,NO
IND_207,West Virginia,YES
IND_207,Wisconsin,YES
IND_207,Wyoming,NO
IND_208,Alabama,25
IND_208,Alaska,100
IND_208,Arizona,0
IND_208,Arkansas,25
IND_208,California,100
IND_208,Colorado,0
IND_208,Connecticut,25
IND_208,Delaware,0
IND_208,Florida,25
IND_208,Georgia,0
IND_208,Hawaii,0
IND_208,Idaho,50
IND_208,Illinois,0
IND_208,Indiana,50
IND_208,Iowa,0
IND_208,Kansas,25
IND_208,Kentucky,25
IND_208,Louisiana,25
IND_208,Maine,50
IND_208,Maryland,25
IND_208,Massachusetts,0
IND_208,Michigan,25
IND_208,Minnesota,50
IND_208,Mississippi,0
IND_208,Missouri,50
IND_208,Montana,25
IND_208,Nebraska,0
IND_208,Nevada,0
IND_208,New Hampshire,0
IND_208,New Jersey,25
IND_208,New Mexico,0
IND_208,New York,100
IND_208,North Carolina,0
IND_208,North Dakota,0
IND_208,Ohio,100
IND_208,Oklahoma,25
IND_208,Oregon,0
IND_208,Pennsylvania,100
IND_208,Rhode Island,0
IND_208,South Carolina,25
IND_208,South Dakota,25
IND_208,Tennessee,100
IND_208,Texas,0
IND_208,Utah,0
IND_208,Vermont,0
IND_208,Virginia,0
IND_208,Washington,25
IND_208,West Virginia,100
IND_208,Wisconsin,25
IND_208,Wyoming,0
IND_209,Alabama,100
IND_209,Alaska,100
IND_209,Arizona,0
IND_209,Arkansas,100
IND_209,California,100
IND_209,Colorado,50
IND_209,Connecticut,50
IND_209,Delaware,25
IND_209,Florida,0
IND_209,Georgia,50
IND_209,Hawaii,50
IND_209,Idaho,100
IND_209,Illinois,75
IND_209,Indiana,75
IND_209,Iowa,0
IND_209,Kansas,100
IND_209,Kentucky,100
IND_209,Louisiana,75
IND_209,Maine,100
IND_209,Maryland,100
IND_209,Massachusetts,25
IND_209,Michigan,25
IND_209,Minnesota,25
IND_209,Mississippi,50
IND_209,Missouri,100
IND_209,Montana,75
IND_209,Nebraska,100
IND_209,Nevada,75
IND_209,New Hampshire,0
IND_209,New Jersey,75
IND_209,New Mexico,0
IND_209,New York,25
IND_209,North Carolina,100
IND_209,North Dakota,75
IND_209,Ohio,100
IND_209,Oklahoma,25
IND_209,Oregon,50
IND_209,Pennsylvania,25
IND_209,Rhode Island,50
IND_209,South Carolina,50
IND_209,South Dakota,25
IND_209,Tennessee,25
IND_209,Texas,50
IND_209,Utah,50
IND_209,Vermont,100
IND_209,Virginia,50
IND_209,Washington,50
IND_209,West Virginia,100
IND_209,Wisconsin,50
IND_209,Wyoming,0
