filing_id	principal_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_expenditure	total_hours_communicating	total_hours_other	source_url
WI-principal-10985-expenditure-2025-H1	10985	WI	expenditure_report	client	2025-01-01	2025-06-30	28058.69	32.0	318.55	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10985
WI-principal-10985-expenditure-2025-H2	10985	WI	expenditure_report	client	2025-07-01	2025-12-31	30985.26	24.75	303.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10985
WI-principal-10986-expenditure-2025-H1	10986	WI	expenditure_report	client	2025-01-01	2025-06-30	24000.0	50.0	112.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10986
WI-principal-10986-expenditure-2025-H2	10986	WI	expenditure_report	client	2025-07-01	2025-12-31	25071.0	43.75	108.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10986
WI-principal-10987-expenditure-2025-H1	10987	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	27.0	11.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10987
WI-principal-10987-expenditure-2025-H2	10987	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	3.25	4.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10987
WI-principal-10989-expenditure-2025-H1	10989	WI	expenditure_report	client	2025-01-01	2025-06-30	18000.0	12.5	40.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10989
WI-principal-10989-expenditure-2025-H2	10989	WI	expenditure_report	client	2025-07-01	2025-12-31	18000.0	57.75	141.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10989
WI-principal-10990-expenditure-2025-H1	10990	WI	expenditure_report	client	2025-01-01	2025-06-30	88648.86	23.25	57.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10990
WI-principal-10990-expenditure-2025-H2	10990	WI	expenditure_report	client	2025-07-01	2025-12-31	87000.0	28.0	27.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10990
WI-principal-10994-expenditure-2025-H1	10994	WI	expenditure_report	client	2025-01-01	2025-06-30	26368.6	105.0	130.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10994
WI-principal-10994-expenditure-2025-H2	10994	WI	expenditure_report	client	2025-07-01	2025-12-31	11184.64	28.75	76.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10994
WI-principal-10996-expenditure-2025-H1	10996	WI	expenditure_report	client	2025-01-01	2025-06-30	6565.0	6.0	84.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10996
WI-principal-10996-expenditure-2025-H2	10996	WI	expenditure_report	client	2025-07-01	2025-12-31	8080.0	3.0	95.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10996
WI-principal-10997-expenditure-2025-H1	10997	WI	expenditure_report	client	2025-01-01	2025-06-30	3758.26	28.0	14.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10997
WI-principal-10997-expenditure-2025-H2	10997	WI	expenditure_report	client	2025-07-01	2025-12-31	1692.13	12.5	6.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10997
WI-principal-10998-expenditure-2025-H1	10998	WI	expenditure_report	client	2025-01-01	2025-06-30	285937.7	147.25	317.55	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10998
WI-principal-10998-expenditure-2025-H2	10998	WI	expenditure_report	client	2025-07-01	2025-12-31	205177.27	67.3	324.05	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10998
WI-principal-11000-expenditure-2025-H1	11000	WI	expenditure_report	client	2025-01-01	2025-06-30	40176.78	29.0	153.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11000
WI-principal-11000-expenditure-2025-H2	11000	WI	expenditure_report	client	2025-07-01	2025-12-31	43770.56	26.5	92.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11000
WI-principal-11002-expenditure-2025-H1	11002	WI	expenditure_report	client	2025-01-01	2025-06-30	48981.2	100.25	250.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11002
WI-principal-11002-expenditure-2025-H2	11002	WI	expenditure_report	client	2025-07-01	2025-12-31	14177.53	20.25	83.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11002
WI-principal-11004-expenditure-2025-H1	11004	WI	expenditure_report	client	2025-01-01	2025-06-30	18000.0	2.0	32.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11004
WI-principal-11004-expenditure-2025-H2	11004	WI	expenditure_report	client	2025-07-01	2025-12-31	18000.0	23.0	46.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11004
WI-principal-11007-expenditure-2025-H1	11007	WI	expenditure_report	client	2025-01-01	2025-06-30	797.11	21.54	14.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11007
WI-principal-11007-expenditure-2025-H2	11007	WI	expenditure_report	client	2025-07-01	2025-12-31	2804.64	26.0	22.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11007
WI-principal-11008-expenditure-2025-H1	11008	WI	expenditure_report	client	2025-01-01	2025-06-30	3891.67	2.5	8.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11008
WI-principal-11008-expenditure-2025-H2	11008	WI	expenditure_report	client	2025-07-01	2025-12-31	12000.0	3.5	18.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11008
WI-principal-11010-expenditure-2025-H1	11010	WI	expenditure_report	client	2025-01-01	2025-06-30	46164.73	31.5	57.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11010
WI-principal-11010-expenditure-2025-H2	11010	WI	expenditure_report	client	2025-07-01	2025-12-31	31274.14	9.5	38.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11010
WI-principal-11011-expenditure-2025-H1	11011	WI	expenditure_report	client	2025-01-01	2025-06-30	45000.0	5.5	55.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11011
WI-principal-11011-expenditure-2025-H2	11011	WI	expenditure_report	client	2025-07-01	2025-12-31	45000.0	20.5	62.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11011
WI-principal-11013-expenditure-2025-H1	11013	WI	expenditure_report	client	2025-01-01	2025-06-30	16614.0	12.5	47.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11013
WI-principal-11013-expenditure-2025-H2	11013	WI	expenditure_report	client	2025-07-01	2025-12-31	2610.25	6.25	43.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11013
WI-principal-11014-expenditure-2025-H1	11014	WI	expenditure_report	client	2025-01-01	2025-06-30	13200.0	4.0	30.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11014
WI-principal-11014-expenditure-2025-H2	11014	WI	expenditure_report	client	2025-07-01	2025-12-31	13200.0	7.5	27.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11014
WI-principal-11015-expenditure-2025-H1	11015	WI	expenditure_report	client	2025-01-01	2025-06-30	8803.0	0.5	25.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11015
WI-principal-11015-expenditure-2025-H2	11015	WI	expenditure_report	client	2025-07-01	2025-12-31	8500.0	4.0	25.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11015
WI-principal-11016-expenditure-2025-H1	11016	WI	expenditure_report	client	2025-01-01	2025-06-30	6000.0	33.5	48.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11016
WI-principal-11016-expenditure-2025-H2	11016	WI	expenditure_report	client	2025-07-01	2025-12-31	6000.0	8.5	31.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11016
WI-principal-11017-expenditure-2025-H1	11017	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11017
WI-principal-11017-expenditure-2025-H2	11017	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11017
WI-principal-11018-expenditure-2025-H1	11018	WI	expenditure_report	client	2025-01-01	2025-06-30	96565.11	301.0	1352.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11018
WI-principal-11018-expenditure-2025-H2	11018	WI	expenditure_report	client	2025-07-01	2025-12-31	106691.97	252.5	1646.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11018
WI-principal-11020-expenditure-2025-H1	11020	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	0.0	45.3	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11020
WI-principal-11020-expenditure-2025-H2	11020	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	70.9	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11020
WI-principal-11021-expenditure-2025-H1	11021	WI	expenditure_report	client	2025-01-01	2025-06-30	1769.81	4.0	5.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11021
WI-principal-11021-expenditure-2025-H2	11021	WI	expenditure_report	client	2025-07-01	2025-12-31	983.23	1.0	4.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11021
WI-principal-11023-expenditure-2025-H1	11023	WI	expenditure_report	client	2025-01-01	2025-06-30	29319.15	31.0	136.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11023
WI-principal-11023-expenditure-2025-H2	11023	WI	expenditure_report	client	2025-07-01	2025-12-31	43767.15	61.25	188.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11023
WI-principal-11026-expenditure-2025-H1	11026	WI	expenditure_report	client	2025-01-01	2025-06-30	400.0	5.5	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11026
WI-principal-11026-expenditure-2025-H2	11026	WI	expenditure_report	client	2025-07-01	2025-12-31	400.0	4.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11026
