filing_id	lobbyist_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_hours_communicating	total_hours_other	source_url
WI-lobbyist-11062-activity-2026-H2	11062	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11062
WI-lobbyist-11063-activity-2025-H1	11063	WI	activity_report	lobbyist	2025-01-01	2025-06-30	72.5	46.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11063
WI-lobbyist-11063-activity-2025-H2	11063	WI	activity_report	lobbyist	2025-07-01	2025-12-31	96.0	47.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11063
WI-lobbyist-11063-activity-2026-H1	11063	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11063
WI-lobbyist-11063-activity-2026-H2	11063	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11063
WI-lobbyist-11064-activity-2025-H1	11064	WI	activity_report	lobbyist	2025-01-01	2025-06-30	43.0	68.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11064
WI-lobbyist-11064-activity-2025-H2	11064	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.5	19.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11064
WI-lobbyist-11064-activity-2026-H1	11064	WI	activity_report	lobbyist	2026-01-01	2026-06-30	10.5	14.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11064
WI-lobbyist-11064-activity-2026-H2	11064	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11064
WI-lobbyist-11065-activity-2025-H1	11065	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.25	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11065
WI-lobbyist-11065-activity-2025-H2	11065	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11065
WI-lobbyist-11065-activity-2026-H1	11065	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11065
WI-lobbyist-11065-activity-2026-H2	11065	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11065
WI-lobbyist-11066-activity-2025-H1	11066	WI	activity_report	lobbyist	2025-01-01	2025-06-30	6.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11066
WI-lobbyist-11066-activity-2025-H2	11066	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11066
WI-lobbyist-11066-activity-2026-H1	11066	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11066
WI-lobbyist-11066-activity-2026-H2	11066	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11066
WI-lobbyist-11067-activity-2025-H1	11067	WI	activity_report	lobbyist	2025-01-01	2025-06-30	11.7	52.2	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11067
WI-lobbyist-11067-activity-2025-H2	11067	WI	activity_report	lobbyist	2025-07-01	2025-12-31	15.1	47.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11067
WI-lobbyist-11067-activity-2026-H1	11067	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11067
WI-lobbyist-11067-activity-2026-H2	11067	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11067
WI-lobbyist-11068-activity-2025-H1	11068	WI	activity_report	lobbyist	2025-01-01	2025-06-30	21.5	14.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11068
WI-lobbyist-11068-activity-2025-H2	11068	WI	activity_report	lobbyist	2025-07-01	2025-12-31	18.0	49.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11068
WI-lobbyist-11068-activity-2026-H1	11068	WI	activity_report	lobbyist	2026-01-01	2026-06-30	12.75	34.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11068
WI-lobbyist-11068-activity-2026-H2	11068	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11068
WI-lobbyist-11070-activity-2025-H1	11070	WI	activity_report	lobbyist	2025-01-01	2025-06-30	3.0	19.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11070
WI-lobbyist-11070-activity-2025-H2	11070	WI	activity_report	lobbyist	2025-07-01	2025-12-31	5.0	12.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11070
WI-lobbyist-11070-activity-2026-H1	11070	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11070
WI-lobbyist-11070-activity-2026-H2	11070	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11070
WI-lobbyist-11071-activity-2025-H1	11071	WI	activity_report	lobbyist	2025-01-01	2025-06-30	51.0	96.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11071
WI-lobbyist-11071-activity-2025-H2	11071	WI	activity_report	lobbyist	2025-07-01	2025-12-31	47.0	55.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11071
WI-lobbyist-11071-activity-2026-H1	11071	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11071
WI-lobbyist-11071-activity-2026-H2	11071	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11071
WI-lobbyist-11072-activity-2025-H1	11072	WI	activity_report	lobbyist	2025-01-01	2025-06-30	651.0	3356.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11072
WI-lobbyist-11072-activity-2025-H2	11072	WI	activity_report	lobbyist	2025-07-01	2025-12-31	565.5	3038.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11072
WI-lobbyist-11072-activity-2026-H1	11072	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11072
WI-lobbyist-11072-activity-2026-H2	11072	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11072
WI-lobbyist-11073-activity-2025-H1	11073	WI	activity_report	lobbyist	2025-01-01	2025-06-30	50.5	24.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11073
WI-lobbyist-11073-activity-2025-H2	11073	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	16.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11073
WI-lobbyist-11073-activity-2026-H1	11073	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11073
WI-lobbyist-11073-activity-2026-H2	11073	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11073
WI-lobbyist-11074-activity-2025-H1	11074	WI	activity_report	lobbyist	2025-01-01	2025-06-30	1.0	23.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11074
WI-lobbyist-11074-activity-2025-H2	11074	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11074
WI-lobbyist-11074-activity-2026-H1	11074	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11074
WI-lobbyist-11074-activity-2026-H2	11074	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11074
WI-lobbyist-11075-activity-2025-H1	11075	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11075
WI-lobbyist-11075-activity-2025-H2	11075	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11075
WI-lobbyist-11075-activity-2026-H1	11075	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11075
WI-lobbyist-11075-activity-2026-H2	11075	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11075
WI-lobbyist-11077-activity-2025-H1	11077	WI	activity_report	lobbyist	2025-01-01	2025-06-30	37.5	9.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11077
WI-lobbyist-11077-activity-2025-H2	11077	WI	activity_report	lobbyist	2025-07-01	2025-12-31	8.5	6.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11077
WI-lobbyist-11077-activity-2026-H1	11077	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11077
WI-lobbyist-11077-activity-2026-H2	11077	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11077
WI-lobbyist-11078-activity-2025-H1	11078	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11078
WI-lobbyist-11078-activity-2025-H2	11078	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11078
WI-lobbyist-11078-activity-2026-H1	11078	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11078
