column	flag	jurisdiction	n_matched	offset_px	raw	scan_page	table
review_field_complaints	unknown_marker	Kentucky			—_—	169	30
public_access_restricted	unknown_marker	Kentucky			—_—	169	30
public_access_not_available	unknown_marker	Kentucky			~<	169	30
review_desk_or_field_all	unknown_marker	Louisiana			—_—	169	30
review_field_over_threshold	unknown_marker	Louisiana			-_	169	30
review_desk_or_field_over_threshold	unknown_marker	Louisiana			_—	169	30
review_field_random	unknown_marker	Louisiana			—_—	169	30
review_desk_all	unknown_marker	Michigan			®	169	30
review_desk_over_threshold	unknown_marker	Michigan			—_—	169	30
review_desk_or_field_over_threshold	unknown_marker	Michigan			—_—	169	30
review_desk_random	unknown_marker	Michigan			—_—	169	30
review_field_random	unknown_marker	Michigan			—_—	169	30
review_field_all	unknown_marker	Minnesota			—_—	169	30
review_desk_or_field_over_threshold	unknown_marker	Minnesota			—_—	169	30
	scan_offset_applied		17	-5.1		170	30
review_field_all	unknown_marker	New Mexico			N.A.	170	30
review_desk_or_field_all	unknown_marker	New Mexico			N.A.	170	30
review_desk_over_threshold	unknown_marker	New Mexico			N.A.	170	30
review_field_over_threshold	unknown_marker	New Mexico			N.A.	170	30
review_desk_or_field_over_threshold	unknown_marker	New Mexico			N.A.	170	30
review_desk_random	unknown_marker	New Mexico			N.A.	170	30
review_field_random	unknown_marker	New Mexico			N.A.	170	30
review_desk_or_field_random	unknown_marker	New Mexico			N.A.	170	30
review_desk_complaints	unknown_marker	New Mexico			N.A.	170	30
review_field_complaints	unknown_marker	New Mexico			NLA.	170	30
review_desk_or_field_complaints	unknown_marker	New Mexico			N.A.	170	30
public_access_unrestricted	unknown_marker	New Mexico			N.A.	170	30
public_access_restricted	unknown_marker	New Mexico			N.A.	170	30
public_access_not_available	unknown_marker	New Mexico			N.A.	170	30
public_access_agency_compiles_publishes	unknown_marker	New Mexico			N.A.	170	30
review_desk_or_field_all	unknown_marker	New York			~	170	30
review_field_complaints	unknown_marker	New York			~	170	30
public_access_not_available	unknown_marker	New York			~	170	30
review_field_random	unknown_marker	North Carolina			ad	170	30
review_desk_all	unknown_marker	North Dakota			(h)	170	30
review_desk_all	unknown_marker	Ohio			N.A.	170	30
review_field_all	unknown_marker	Ohio			N.A.	170	30
review_desk_or_field_all	unknown_marker	Ohio			N.A.	170	30
review_desk_over_threshold	unknown_marker	Ohio			N.A,	170	30
review_field_over_threshold	unknown_marker	Ohio			N.A.	170	30
review_desk_or_field_over_threshold	unknown_marker	Ohio			N.A.	170	30
review_desk_random	unknown_marker	Ohio			N.A.	170	30
review_field_random	unknown_marker	Ohio			N.A.	170	30
review_desk_or_field_random	unknown_marker	Ohio			N.A,	170	30
review_desk_complaints	unknown_marker	Ohio			N.A.	170	30
review_field_complaints	unknown_marker	Ohio			N.A.	170	30
review_desk_or_field_complaints	unknown_marker	Ohio			N.A.	170	30
public_access_unrestricted	unknown_marker	Ohio			N.A.	170	30
public_access_not_available	unknown_marker	Ohio			N.A.	170	30
public_access_agency_compiles_publishes	unknown_marker	Ohio			N.A.	170	30
review_desk_all	unknown_marker	Pennsylvania			N.A.	170	30
